"","immig","educ","female","white","voted_trump","intend_trump","repub"
"614",0,3,1,1,1,1,1
"617",0,1,1,1,1,1,1
"620",1,1,1,1,0,0,0
"621",1,2,0,1,0,0,0
"622",1,2,1,0,0,0,0
"630",1,1,1,1,1,1,1
"632",1,2,1,0,0,0,0
"634",1,1,1,1,0,0,0
"637",1,1,1,0,0,0,0
"638",0,0,0,1,1,1,1
"641",1,2,0,1,0,0,0
"643",0,1,1,1,1,0,1
"644",1,2,1,1,1,1,1
"645",1,3,1,1,0,0,0
"646",0,1,0,1,1,1,1
"648",1,1,0,1,1,1,1
"649",1,1,1,0,0,0,0
"651",1,1,0,0,0,0,0
"653",1,1,1,1,1,0,0
"656",1,1,1,1,1,1,1
"660",0,2,0,1,1,1,1
"661",1,2,1,1,1,1,1
"663",1,3,1,0,0,0,0
"664",1,1,0,1,1,1,1
"665",1,3,1,1,0,0,0
"666",1,1,1,1,0,0,0
"667",1,3,0,1,0,0,0
"668",1,1,1,1,1,1,1
"676",0,1,0,0,1,1,1
"679",1,0,0,0,0,0,0
"681",1,3,1,0,0,0,0
"682",1,1,1,0,0,0,0
"685",1,0,1,1,0,1,0
"686",1,2,1,1,0,0,0
"687",1,2,1,1,1,1,1
"688",1,1,0,1,0,0,0
"689",0,0,0,1,1,1,1
"690",1,3,0,0,0,0,0
"692",1,1,1,1,1,1,0
"693",1,3,0,1,1,1,1
"694",1,2,0,1,0,0,0
"695",1,1,0,0,0,0,0
"696",0,1,1,1,1,1,1
"697",0,2,1,1,0,0,0
"698",1,1,0,1,1,1,1
"699",1,1,1,1,1,0,0
"701",1,1,1,1,0,1,1
"702",1,1,0,0,1,0,1
"704",1,3,0,1,0,0,0
"706",1,3,0,1,0,0,0
"709",0,0,1,0,0,0,0
"711",1,3,0,1,0,0,0
"712",1,1,0,1,0,0,0
"713",1,1,1,0,0,0,0
"714",1,1,0,0,0,0,0
"715",0,1,0,1,1,1,1
"717",1,2,1,1,1,1,1
"720",1,3,0,1,1,1,1
"721",1,1,1,1,1,1,0
"722",1,2,1,1,0,0,0
"723",1,3,0,1,0,0,0
"724",1,1,0,0,0,0,0
"727",1,1,1,1,0,0,0
"728",0,3,0,1,1,1,0
"729",0,1,0,0,1,1,1
"730",1,1,1,1,0,0,1
"735",0,3,1,1,1,1,1
"737",1,2,1,1,0,0,0
"740",1,1,1,0,0,0,0
"741",0,1,0,0,1,1,1
"742",1,2,0,1,0,0,0
"746",0,1,0,1,1,1,0
"747",1,2,1,1,0,0,0
"749",1,2,0,0,0,0,0
"750",1,3,0,1,1,1,1
"752",1,3,0,0,0,0,0
"754",1,2,0,1,0,0,0
"756",0,2,0,1,1,1,1
"757",1,1,0,0,1,1,1
"759",0,1,0,1,1,1,1
"763",1,1,0,1,1,1,1
"766",1,1,1,1,0,0,0
